,label,centroid-0,centroid-1,gfp_filled_area,gfp_min_intensity,gfp_mean_intensity,gfp_max_intensity,gfp_sum_intensity
0,1,526.6092931937172,20.361910994764397,1528,7593,22110.0,65535,33783745.0
1,2,568.3471915081822,21.839451570101726,2261,7262,15119.0,43020,34184554.0
2,3,659.6325099115584,170.90637389448003,3279,6442,16767.0,64454,54979614.0
3,4,650.8642105263158,21.873684210526317,1900,7077,12549.0,27315,23842571.0
4,5,681.2189168573608,34.50038138825324,1311,7912,15281.0,33033,20033674.0
5,6,707.8952262864228,18.747055176689397,1613,6590,11879.0,30103,19160609.0
6,7,737.6981268011527,126.24891930835734,2776,6858,12369.0,36336,34335650.0
7,8,744.7119029567855,270.24184988627746,2638,6394,14658.0,60614,38668488.0
8,9,741.7327935222672,81.6914979757085,2470,5730,9120.0,18079,22526929.0
9,10,766.6190837762592,31.60136674259681,3951,5622,6897.0,24348,27249913.0
10,11,769.3067202757036,296.59333716255026,1741,5430,11865.0,57063,20656428.0
11,12,785.2106918238994,156.80314465408804,3180,6043,12095.0,37568,38461208.0
12,13,790.7829002514669,97.04610226320202,2386,7178,16862.0,39227,40231950.0
13,14,802.108552631579,309.95394736842104,2128,4642,5667.0,11582,12059547.0
14,15,825.2262110726643,340.5795847750865,2312,4443,4980.0,5757,11513518.0
15,16,825.9606689377516,249.84917931248066,3229,4874,5366.0,6063,17325476.0
16,17,829.1737983587338,198.89742086752636,3412,5275,5945.0,8782,20284169.0
17,18,830.6480818414323,136.7764705882353,1955,5969,8648.0,25479,16907338.0
18,19,832.0299401197605,81.43579507651364,1503,6562,9554.0,19141,14359814.0
19,20,845.9842424242424,107.03757575757575,825,7254,11956.0,50748,9863796.0
20,21,865.7411915438821,70.16271620755926,1561,4997,6156.0,8282,9609242.0
21,22,860.918408631153,158.25421443020903,1483,5911,7027.0,8834,10421275.0
22,23,865.5889702714347,37.32270573028867,2321,4944,5831.0,8809,13534838.0
23,24,881.0594594594595,113.63723723723724,1665,5690,9494.0,45550,15807929.0
24,25,869.4434199497066,9.522212908633696,1193,4839,6723.0,17404,8020427.0
25,26,893.6706565107,166.54443235400797,2757,6517,11056.0,29234,30481599.0
26,27,920.435294117647,24.314807302231237,2465,4399,4928.0,6083,12148477.0
27,28,934.984705882353,275.0098039215686,2550,5155,7064.0,39202,18013303.0
28,29,970.8158192090395,258.5762711864407,1770,5406,9016.0,35611,15958354.0
29,30,975.3502512562814,306.8010050251256,1990,5013,5971.0,11606,11881633.0
30,31,1008.1025267249757,288.8955296404276,2058,5189,6441.0,15488,13255510.0
