,label,centroid-0,centroid-1,gfp_filled_area,gfp_min_intensity,gfp_mean_intensity,gfp_max_intensity,gfp_sum_intensity
0,1,1006.9855855855856,287.9051051051051,1665,5358,6602.0,15488,10991813.0
1,3,799.7791005291006,311.58597883597884,1512,4717,5805.0,10198,8777564.0
2,4,938.9254125412541,277.61386138613864,1515,5323,6664.0,17435,10096408.0
3,5,826.0498164656528,247.6439433665443,1907,4929,5394.0,6063,10286300.0
4,6,965.6659003831418,262.4222222222222,1305,6019,10902.0,39202,14227634.0
5,7,889.6972111553785,165.82014797951052,1757,7180,11651.0,26689,20470346.0
6,8,828.5606765327695,201.0980972515856,2365,5275,5896.0,8782,13944166.0
7,9,785.6650438169426,152.17672833495618,2054,7038,13790.0,37568,28325504.0
8,10,860.0686546463246,156.00693481276005,1442,5911,7001.0,8391,10095438.0
9,11,741.7196456487754,123.20375195414279,1919,7465,13524.0,36336,25953031.0
10,12,831.8116219667944,135.93358876117497,1566,6516,8146.0,19314,12756708.0
11,13,876.3742222222222,118.1048888888889,1125,6841,10615.0,49465,11942306.0
12,14,564.6154336734694,18.121811224489797,1568,8184,15975.0,43020,25048315.0
13,15,788.7945288753799,100.18844984802432,1645,9271,17698.0,39227,29112871.0
14,16,851.0668485675307,106.90450204638472,733,7504,11953.0,50748,8761214.0
15,17,916.335636154289,20.494530800230283,1737,4489,4961.0,5784,8618062.0
16,18,833.7904761904762,88.69047619047619,1050,6758,9103.0,13066,9558517.0
17,19,746.7813012575177,84.87971569163477,1829,6147,9553.0,18079,17472423.0
18,20,681.3951690821256,31.407729468599033,1035,10845,16453.0,33033,17029087.0
19,21,655.1795275590551,17.42677165354331,1270,8952,13903.0,27315,17656758.0
20,22,860.8795366795367,71.25559845559846,1295,5198,6437.0,9570,8335558.0
21,23,766.0120201628538,33.14579294300116,2579,5622,6378.0,12137,16449291.0
22,24,867.1555318011758,36.95189738107964,1871,5026,5714.0,6750,10691380.0
23,25,702.8426013195099,13.488218661639962,1061,7733,13796.0,30103,14637990.0
24,26,865.9473684210526,8.976353928299009,1311,4839,6813.0,17404,8931769.0
