,voro_label,clps_label
0,1,1
1,2,4
2,3,10
3,4,11
4,5,17
5,6,27
6,7,41
7,8,53
8,9,60
9,10,70
10,11,83
11,12,87
12,13,99
13,14,101
14,15,103
15,16,127
16,17,138
17,18,150
18,19,155
19,20,156
20,21,24
21,22,92
22,23,144
23,24,102
24,25,18
25,26,153
26,27,100
27,28,85
28,29,111
29,30,59
30,31,82
31,32,117
32,33,157
33,34,151
34,35,47
35,36,28
36,37,22
37,38,145
38,39,130
39,40,88
40,41,159
41,42,40
42,43,44
43,44,137
44,45,114
45,46,21
46,47,97
47,48,35
48,49,93
49,50,66
50,51,112
51,52,14
52,53,46
53,54,36
54,55,75
55,56,131
56,57,125
57,58,49
58,59,25
59,60,29
60,61,39
61,62,105
62,63,6
63,64,98
64,65,65
65,66,120
66,67,16
67,68,91
68,69,57
69,71,8
70,72,48
71,73,20
72,74,26
73,75,55
74,76,149
75,77,19
76,78,42
77,79,71
78,80,23
79,81,64
80,82,54
81,83,84
82,84,94
83,85,89
84,86,158
85,87,107
86,88,106
87,89,69
88,90,38
89,91,62
90,92,45
91,93,3
92,94,34
93,95,32
94,96,80
95,97,160
96,98,95
97,99,15
98,100,31
99,101,90
100,102,96
101,103,58
102,104,5
103,105,78
104,106,61
105,107,51
106,108,30
107,109,86
108,110,123
109,111,77
110,112,104
111,113,152
112,114,68
113,115,50
114,116,43
115,117,56
116,118,143
117,119,13
118,120,161
119,121,52
120,122,126
121,123,63
122,124,113
123,125,2
124,126,9
125,127,121
126,128,135
127,129,154
128,130,108
129,131,12
130,132,133
131,133,33
132,134,37
133,135,136
134,136,124
135,137,147
136,138,134
137,139,118
138,140,129
139,141,79
140,142,7
141,143,141
142,144,72
143,145,110
144,146,146
145,147,132
146,148,119
147,149,116
148,150,74
149,151,139
150,152,148
151,153,122
152,154,109
153,155,115
154,156,81
155,157,140
156,158,128
157,159,67
158,160,142
159,161,76
160,162,73
