,label,centroid-0,centroid-1,yfp_filled_area,yfp_min_intensity,yfp_mean_intensity,yfp_max_intensity,yfp_sum_intensity
0,1,8.492492492492492,170.2192192192192,333,1409,1908.0,2986,635467.0
1,2,3.1468531468531467,150.93706293706293,143,1873,2188.0,2730,312869.0
2,3,4.02054794520548,63.018264840182646,438,1001,1404.0,2292,614766.0
3,4,6.416666666666667,227.7147435897436,624,1259,1739.0,3378,1085180.0
4,5,10.211009174311927,93.38226299694189,327,1246,1585.0,2700,518202.0
5,6,5.5375,120.56875,160,1912,2207.0,2565,353117.0
6,7,7.520408163265306,107.52551020408163,196,1288,1746.0,2338,342290.0
7,8,6.806930693069307,134.45049504950495,202,2019,2385.0,3150,481785.0
8,9,7.603365384615385,193.6778846153846,416,1516,1725.0,2101,717478.0
9,10,12.121076233183857,1631.3757847533632,1115,1210,1721.0,4984,1918917.0
10,11,13.592057761732852,152.8808664259928,277,1514,1805.0,2318,499978.0
11,12,21.444045676998368,1563.4039151712886,3065,1198,1510.0,8894,4629682.0
12,13,24.159544159544158,59.54985754985755,1755,972,1316.0,2381,2309208.0
13,14,21.45098039215686,129.69607843137254,306,1422,1999.0,3661,611616.0
14,15,19.755020080321284,111.86746987951807,249,1364,1790.0,3273,445623.0
15,16,18.087986463620982,1665.113367174281,1182,1251,1756.0,4027,2075035.0
16,17,17.991277802006106,1487.7496729175753,2293,1176,1554.0,3593,3563256.0
17,18,27.250847457627117,189.40790960451977,885,1251,1679.0,3577,1485724.0
18,19,20.88612983327421,1842.5005321035828,2819,1067,1601.0,4434,4513710.0
19,20,28.91495747873937,247.99799899949974,1999,1272,1814.0,4866,3626851.0
20,21,27.758823529411764,151.8078431372549,510,1410,1688.0,2253,860973.0
21,22,18.760403530895335,1726.3549810844893,1586,1226,1759.0,5319,2789643.0
22,23,29.776523702031604,103.30699774266365,443,1200,1646.0,2523,729319.0
23,24,20.119109947643977,1766.2074607329844,1528,1174,2034.0,4627,3108375.0
24,25,25.41616766467066,1690.1696606786427,1002,1272,2772.0,7447,2777498.0
25,26,45.408114558472555,216.68178202068418,1257,1311,1873.0,5358,2354157.0
26,27,38.62413793103448,1711.0068965517241,290,1867,3865.0,8354,1120813.0
27,28,44.2258883248731,96.73096446700508,788,1072,1415.0,2652,1114724.0
28,29,44.264033264033266,133.64033264033264,481,1346,1886.0,3862,907159.0
29,30,53.266666666666666,1474.2727927927929,2775,1209,1604.0,4884,4450050.0
30,31,48.76679340937896,1618.6983523447402,2367,1221,1720.0,5562,4070438.0
31,32,46.40568862275449,159.97904191616766,668,1380,1749.0,3167,1168076.0
32,33,49.95880681818182,1795.5402462121212,2112,1163,2031.0,4777,4290201.0
33,34,61.04243008678881,1695.2835101253615,1037,1175,1887.0,5724,1956452.0
