,label,centroid-0,centroid-1,cy5_filled_area,cy5_min_intensity,cy5_mean_intensity,cy5_max_intensity,cy5_sum_intensity
0,1,13.578332034294622,2568.53546375682,1283,917,1157.0,1620,1484347.0
1,2,14.736460078168621,2623.5092127303183,1791,876,1037.0,1370,1858020.0
2,3,14.490976399814901,2698.6436834798706,2161,857,1052.0,1702,2273036.0
3,4,14.62684124386252,2852.1423895253683,611,866,1140.0,1570,696399.0
4,5,20.14397424103036,2480.4553817847286,2174,905,1224.0,8661,2660131.0
5,6,16.167567567567566,2819.0655405405405,1480,855,1079.0,1620,1596668.0
6,7,11.717548076923077,2528.7872596153848,832,1079,1454.0,3027,1210054.0
7,8,28.441358024691358,2523.2006172839506,648,999,1346.0,2268,872170.0
8,9,42.02901023890785,2515.7610921501705,586,967,1202.0,1981,704353.0
9,10,45.64234131508932,1518.283162295705,2631,816,1725.0,7743,4537674.0
10,11,51.490866510538645,2837.0140515222483,2135,841,1068.0,1681,2279630.0
11,12,44.02857142857143,2543.9650793650794,315,1120,1418.0,2318,446583.0
12,13,42.06939854593523,2600.7680105750164,1513,898,1129.0,1811,1707924.0
13,14,47.41460541813899,2561.8515901060073,849,959,1351.0,2437,1146697.0
14,15,54.527852249031874,2685.22490318737,3357,846,1037.0,1471,3482360.0
15,16,56.345454545454544,2520.101818181818,550,942,1358.0,3947,746764.0
16,17,60.043391188251,2776.6598798397863,2996,830,1026.0,1658,3075348.0
17,18,76.87915407854985,2528.9113796576034,993,915,1203.0,2032,1194796.0
18,19,78.52095808383234,2604.452095808383,1002,878,1185.0,1715,1187127.0
19,20,81.87403993855607,2580.1597542242703,1302,886,1138.0,3526,1482240.0
20,21,84.22246696035242,2554.4041850220265,908,857,1156.0,2408,1049308.0
21,22,81.12110453648916,2634.9790927021695,2535,883,1130.0,1988,2864644.0
22,23,90.55806451612904,2816.5379032258065,2480,841,1021.0,1418,2533278.0
23,24,81.55967814036656,327.1117568171658,2237,880,1167.0,2447,2609806.0
24,25,97.7014694508894,286.5324825986079,2586,846,1323.0,3330,3421541.0
25,26,108.92857142857143,1762.7851037851037,1638,874,1121.0,1934,1835442.0
26,27,105.56057007125891,1798.6365795724466,1263,882,1117.0,1930,1410978.0
27,28,106.50346297282898,2716.8689397975495,1877,875,1143.0,2380,2145856.0
28,29,107.72604684173173,2681.4485450674238,1409,869,1090.0,2628,1535879.0
29,30,120.21807537504574,2777.0270764727406,2733,847,1034.0,2332,2826963.0
30,31,127.89364844903989,321.1307237813885,1354,957,2281.0,7670,3087866.0
31,32,129.92934080137871,2648.080999569151,2321,808,1100.0,2221,2552194.0
32,33,137.29024583663758,1783.7946074544013,1261,904,1176.0,3556,1482854.0
33,34,121.72135201978566,1833.3808738664468,1213,891,1268.0,3855,1538387.0
34,35,136.38623891937527,1882.4841705360911,2369,831,1203.0,3555,2850168.0
35,36,128.71254901960785,1713.450980392157,2550,879,1074.0,1823,2737737.0
36,37,135.63636363636363,353.4486657620986,2211,940,1402.0,8991,3100728.0
37,38,148.6368794326241,2714.2886524822693,1410,903,1521.0,3807,2144960.0
38,39,152.87798408488064,1828.344827586207,1131,950,2858.0,6308,3232630.0
